N: 1	time: 0.013875	mean: -0.00526896703997238765	error: inf
N: 2	time: 0.001553	mean: -0.00190508393658499805	error: 1.00000050626353043
N: 4	time: 0.003185	mean: 0.797254611138363822	error: 0.408253452572805708
N: 8	time: 0.002601	mean: 1.00811401686305024	error: 0.188998204770367412
N: 16	time: 0.012828	mean: 0.581135769657532997	error: 0.12272504668821653
N: 32	time: 0.038588	mean: 0.411005803736475217	error: 0.0758527893099657791
N: 64	time: 0.050856	mean: 0.263992680116874823	error: 0.0497936246192854925
N: 128	time: 0.154132	mean: 0.334132566607229176	error: 0.0337774710690265725
N: 256	time: 0.239063	mean: 0.249644088965397193	error: 0.022020040671985975
N: 512	time: 0.423231	mean: 0.288387341753382875	error: 0.0153942128834468027
N: 1024	time: 0.809474	mean: 0.30269901741180355	error: 0.0111448145999474002
N: 2048	time: 2.16309	mean: 0.290777625500018067	error: 0.00767977829140826813
N: 4096	time: 3.16994	mean: 0.303604030780465495	error: 0.00556428049724354626
N: 8192	time: 7.86409	mean: 0.300319713521614295	error: 0.0039409696965619842
N: 16384	time: 15.6534	mean: 0.299668370674760765	error: 0.00280506855006682626
