N: 1	time: 0.012236	mean: 0.298900595114718115	error: -nan
N: 2	time: 0.00912	mean: 0.143032838114724864	error: 0.145281166136168205
N: 4	time: 0.019845	mean: 0.428747110254780461	error: 0.208934101680920276
N: 8	time: 0.060079	mean: 0.242585078322124725	error: 0.124312620492518858
N: 16	time: 0.112895	mean: 0.304480168786299521	error: 0.082596750954578968
N: 32	time: 0.168844	mean: 0.314090772239609572	error: 0.0621616331589016635
N: 64	time: 0.372951	mean: 0.287531072255501452	error: 0.0392608163601511906
N: 128	time: 0.879619	mean: 0.26317366667733183	error: 0.0297414628453554521
N: 256	time: 2.17882	mean: 0.303855037065630551	error: 0.0229322028963124015
N: 512	time: 3.80602	mean: 0.292835457398984367	error: 0.0156750595850147362
N: 1024	time: 6.86196	mean: 0.304097764753837374	error: 0.0110500811137678821
N: 2048	time: 12.8198	mean: 0.313609189687047485	error: 0.00796382768686903879
N: 4096	time: 20.3765	mean: 0.298269285316498933	error: 0.00547726352159228543
N: 8192	time: 39.3891	mean: 0.293584425814376881	error: 0.00386989262637918051
N: 16384	time: 79.8493	mean: 0.297502000142346068	error: 0.00275823004681006014
